Company,Utility,Location,Date,Gallons,X,Y
Amazon,Prince William Water Authority ,7510 Mason King Ct ,12/1/2023 0:00,7387.1,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,1/1/2024 0:00,39081.7,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,2/1/2024 0:00,24915.7,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,3/1/2024 0:00,238534.1,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,4/1/2024 0:00,1288192.1,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,5/1/2024 0:00,3065424.9,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,6/1/2024 0:00,4327320.8,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,7/1/2024 0:00,4900353,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,8/1/2024 0:00,4287200.6,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,9/1/2024 0:00,3389114.5,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,10/1/2024 0:00,1299540.1,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,11/1/2024 0:00,438964,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,12/1/2024 0:00,53205.8,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,1/1/2025 0:00,65252.6,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,2/1/2025 0:00,46871.7,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,3/1/2025 0:00,365131.6,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,4/1/2025 0:00,767294.1,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,5/1/2025 0:00,1643961.2,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,6/1/2025 0:00,3366114.7,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,7/1/2025 0:00,4763286.5,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,8/1/2025 0:00,2862554,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,9/1/2025 0:00,2457981.2,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,10/1/2025 0:00,467818,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,11/1/2025 0:00,105953.8,38.79,-77.54
Amazon,Prince William Water Authority ,7510 Mason King Ct ,12/1/2025 0:00,224004.4,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,1/1/2023 0:00,369791,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,2/1/2023 0:00,361300,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,3/1/2023 0:00,453252,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,4/1/2023 0:00,956755,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,5/1/2023 0:00,958826,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,6/1/2023 0:00,1567577,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,7/1/2023 0:00,2157892,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,8/1/2023 0:00,2012580,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,9/1/2023 0:00,1373147,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,10/1/2023 0:00,689063,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,11/1/2023 0:00,5331,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,12/1/2023 0:00,175304,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,1/1/2024 0:00,305954,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,2/1/2024 0:00,293930,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,3/1/2024 0:00,578532,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,4/1/2024 0:00,971576,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,5/1/2024 0:00,1451743,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,6/1/2024 0:00,1901709,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,7/1/2024 0:00,2182489,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,8/1/2024 0:00,1879012,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,9/1/2024 0:00,1459811,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,10/1/2024 0:00,880919,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,11/1/2024 0:00,572633,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,12/1/2024 0:00,262262,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,1/1/2025 0:00,209430,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,2/1/2025 0:00,235669,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,3/1/2025 0:00,423994,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,4/1/2025 0:00,1264847,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,5/1/2025 0:00,1271593,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,6/1/2025 0:00,2034178,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,7/1/2025 0:00,1944637.3,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,8/1/2025 0:00,1681518,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,9/1/2025 0:00,1589024,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,10/1/2025 0:00,652212,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,11/1/2025 0:00,394237,38.79,-77.54
Amazon,Prince William Water Authority ,7505 Mason King Ct ,12/1/2025 0:00,344948,38.79,-77.54
